segment,strategy,family,start,end,final_balance,return_pct,max_drawdown_pct,trades,win_rate,profit_factor,avg_trade_pct,sharpe
train,relative_strength_top_3_rebalance_24,relative_strength,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,295.82,-1.39,19.3,357,0.37,0.988,0.017,0.026
test,relative_strength_top_3_rebalance_24,relative_strength,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,296.43,-1.19,12.12,145,0.366,0.973,-0.018,-0.038
full,relative_strength_top_3_rebalance_24,relative_strength,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,292.3,-2.57,22.03,502,0.369,0.984,0.007,0.005
train,relative_strength_top_3_rebalance_72,relative_strength,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,312.15,4.05,16.84,185,0.357,1.065,0.288,0.265
test,relative_strength_top_3_rebalance_72,relative_strength,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,318.79,6.26,10.47,78,0.385,1.225,0.873,0.627
full,relative_strength_top_3_rebalance_72,relative_strength,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,331.7,10.57,16.84,263,0.365,1.116,0.461,0.39
train,relative_strength_top_4_rebalance_24,relative_strength,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,294.08,-1.97,21.07,429,0.385,0.986,0.023,0.031
test,relative_strength_top_4_rebalance_24,relative_strength,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,290.45,-3.18,15.02,179,0.358,0.941,-0.105,-0.147
full,relative_strength_top_4_rebalance_24,relative_strength,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,284.71,-5.1,26.0,608,0.377,0.973,-0.015,-0.027
train,relative_strength_top_4_rebalance_72,relative_strength,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,301.2,0.4,19.25,231,0.351,1.005,0.1,0.091
test,relative_strength_top_4_rebalance_72,relative_strength,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,315.82,5.27,12.92,97,0.351,1.144,0.645,0.466
full,relative_strength_top_4_rebalance_72,relative_strength,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,317.08,5.69,19.25,328,0.351,1.049,0.261,0.223
train,panic_reversal_drop_8_vol_1.5,panic_reversal,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,321.13,7.04,7.43,92,0.5,1.357,0.765,0.731
test,panic_reversal_drop_8_vol_1.5,panic_reversal,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,303.78,1.26,3.93,36,0.556,1.187,0.367,0.311
full,panic_reversal_drop_8_vol_1.5,panic_reversal,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,325.17,8.39,7.43,128,0.516,1.312,0.653,0.593
train,panic_reversal_drop_8_vol_2.0,panic_reversal,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,319.97,6.66,6.46,71,0.521,1.458,0.93,0.828
test,panic_reversal_drop_8_vol_2.0,panic_reversal,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,302.26,0.75,3.29,27,0.556,1.14,0.298,0.215
full,panic_reversal_drop_8_vol_2.0,panic_reversal,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,322.38,7.46,6.46,98,0.531,1.367,0.756,0.623
train,panic_reversal_drop_12_vol_1.5,panic_reversal,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,305.2,1.73,6.4,33,0.455,1.213,0.545,0.303
test,panic_reversal_drop_12_vol_1.5,panic_reversal,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,298.27,-0.58,2.01,9,0.444,0.706,-0.627,-0.227
full,panic_reversal_drop_12_vol_1.5,panic_reversal,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,303.44,1.15,6.4,42,0.452,1.113,0.294,0.148
train,panic_reversal_drop_12_vol_2.0,panic_reversal,2023-08-17 01:00:00+00:00,2025-03-17 05:00:00+00:00,307.28,2.43,5.14,29,0.483,1.358,0.85,0.442
test,panic_reversal_drop_12_vol_2.0,panic_reversal,2025-03-17 06:00:00+00:00,2026-03-27 04:00:00+00:00,300.9,0.3,1.21,7,0.571,1.276,0.441,0.149
full,panic_reversal_drop_12_vol_2.0,panic_reversal,2023-08-17 01:00:00+00:00,2026-03-27 04:00:00+00:00,308.21,2.74,5.14,36,0.5,1.346,0.77,0.351
